domain,agent,classification,allowed,rule_source,matched_rule_directive,matched_rule_path,allow_rules,disallow_rules,robots_url,robots_status,robots_error,robots_parsed,robots_looks_html
7-eleven.com,*,Explicitly Allowed,True,explicit,,,,,https://www.7-eleven.com/robots.txt,200,,True,False
7-eleven.com,DEFAULT/OTHER,Wildcard Rule (Allowed),True,wildcard,,,,,https://www.7-eleven.com/robots.txt,200,,True,False
aholddelhaize.com,*,Explicitly Allowed,True,explicit,allow,/,/, | /umbraco/ | /_nuxt/ | /api/ | /admin/ | /private/ | /*.json$ | /*.xml$ | /node_modules/ | /health | /server/ | /uSync/,https://aholddelhaize.com/robots.txt,200,,True,False
aholddelhaize.com,DEFAULT/OTHER,Wildcard Rule (Allowed),True,wildcard,allow,/,/, | /umbraco/ | /_nuxt/ | /api/ | /admin/ | /private/ | /*.json$ | /*.xml$ | /node_modules/ | /health | /server/ | /uSync/,https://aholddelhaize.com/robots.txt,200,,True,False
albertsons.com,*,Explicitly Allowed,True,explicit,allow,/,/,/account/* | /erums/* | /mylist/* | /delivery-subscription/* | /justforu/coupons-deals.html | /justforu/coupons-deals/* | /justforu/rewards.html | /justforu/rewards/* | /customer-account/*,https://www.albertsons.com/robots.txt,200,,True,False
albertsons.com,DEFAULT/OTHER,Wildcard Rule (Allowed),True,wildcard,allow,/,/,/account/* | /erums/* | /mylist/* | /delivery-subscription/* | /justforu/coupons-deals.html | /justforu/coupons-deals/* | /justforu/rewards.html | /justforu/rewards/* | /customer-account/*,https://www.albertsons.com/robots.txt,200,,True,False
amazon.com,*,Explicitly Allowed,True,explicit,,,/wishlist/universal* | /wishlist/vendor-button* | /wishlist/get-button* | /gp/wishlist/universal* | /gp/wishlist/vendor-button* | /gp/wishlist/ipad-install* | /gp/dmusic/promotions/PrimeMusic | /gp/dmusic/promotions/AmazonMusicUnlimited | /-/es/ | /-/en$ | /-/zh_TW/ | /-/zh_TW$ | /-/he/ | /-/he$ | /gp/offer-listing/B000 | /gp/offer-listing/9000 | /gp/aag/main?*seller=ABVFEJU8LS620,/exec/obidos/account-access-login | /exec/obidos/change-style | /exec/obidos/flex-sign-in | /exec/obidos/handle-buy-box | /exec/obidos/tg/cm/member/ | /gp/aw/help/id=sss | /gp/cart | /gp/flex | /gp/product/e-mail-friend | /gp/product/product-availability | /gp/product/rate-this-item | /gp/sign-in | /gp/reader | /gp/sitbv3/reader | /gp/richpub/syltguides/create | /gp/gfix | /gp/associations/wizard.html | /gp/dmusic/order | /gp/legacy-handle-buy-box.html | /gp/aws/ssop | /gp/yourstore | /gp/gift-central/organizer/add-wishlist | /gp/vote | /gp/voting/ | /gp/music/wma-pop-up | /gp/customer-images | /gp/richpub/listmania/createpipeline | /gp/content-form | /gp/pdp/invitation/invite | /gp/customer-reviews/common/du | /gp/customer-reviews/write-a-review.html | /gp/associations/wizard.html | /gp/music/clipserve | /gp/customer-media/upload | /gp/history | /gp/item-dispatch | /gp/dmusic/order/handle-buy-box.html | /gp/recsradio | /gp/slredirect | /dp/shipping/ | /dp/twister-update/ | /dp/manual-submit/ | /dp/e-mail-friend/ | /dp/product-availability/ | /dp/rate-this-item/ | /gp/registry/wishlist/*/reserve | /gp/structured-ratings/actions/get-experience.html | /gp/twitter/ | /ap/signin | /gp/registry/wishlist/ | /wishlist/ | /gp/wishlist/ | /registry/wishlist/ | /review/common/du | /gp/registry/search.html | /product-reviews/B0069IY63Y | /gp/orc/rml/ | */gcrnsts | /gp/gc/widget | /gp/dmusic/mp3/player | /gp/entity-alert/external | /gp/customer-reviews/dynamic/sims-box | /review/dynamic/sims-box | /gp/redirect.html | /gp/twister/ajaxv2 | /ss/twister/ajax | /b?*node=7454917011 | /b?*node=7454927011 | /b?*node=7454939011 | /b?*node=7454898011 | /gp/customer-media/actions/delete/ | /gp/customer-media/actions/edit-caption/ | /gp/dmusic/ | /gp/offer-listing/ | /b?*node=9052533011 | /lm/R1XIHQVKXSKBNJ | /lm/R3HQ5WJSZK6QSO | /surprise/ | /local/ajax/ | /gp/socialmedia/giveaways | /gp/b2b-rd | /gp/aw/so.html | /reviews/iframe | /gp/switch-language | /ga/p/ | /gp/profile/ | /giveaway/host/setup/ | /ss/customer-reviews/lighthouse/ | /ospublishing/story/* | /gp/aw/ol/ | /gp/promotion/ | /hz/leaderboard/top-reviewers/ | /creatorhub | /creatorhub/* | /slp/s$ | /-/ | /hz/help/contact/*/message/$ | /gp/aw/shoppingAids/ | /rss/people/*/reviews | /gp/pdp/rss/*/reviews | /gp/cdp/member-reviews/ | /gp/aw/cr/ | /gp/aag | /gp/pdp/profile/ | /gp/help/customer/express/c2c/ | /slp/*/b$ | /hz/contact-us/ajax/initiate-trusted-contact/ | /hp/video/ | /gp/video/api | /gp/video/settings | /gp/video/library | /gp/video/watchlist | /gp/video/mystuff | /gp/video/profiles | /gp/video/search | /gp/video/auth | /gp/video/salp/i | /icdp/,https://www.amazon.com/robots.txt,200,,True,False
amazon.com,AI2Bot,Explicitly Blocked,False,explicit,disallow,/,,/,https://www.amazon.com/robots.txt,200,,True,False
amazon.com,Ai2Bot-Dolma,Explicitly Blocked,False,explicit,disallow,/,,/,https://www.amazon.com/robots.txt,200,,True,False
amazon.com,Brightbot,Explicitly Blocked,False,explicit,disallow,/,,/,https://www.amazon.com/robots.txt,200,,True,False
