Domain,Country,Created,Language,Platform,Platform Rank
www.qvc.com,US,"Dec 30, 2016",en,Shopify,1
www.fashionnova.com,US,"Jan 27, 2017",en,Shopify,2
owalalife.com,US,"May 1, 2020",en,Shopify,3
www.rhodeskin.com,US,"Apr 8, 2022",en,Shopify,4
waxcenter.com,US,"Apr 24, 2020",en,Shopify,5
ring.com,US,"Dec 30, 2016",en,Shopify,6
magnolia.com,US,"Mar 7, 2025",en,Shopify,7
society6.com,US,"Dec 30, 2016",en,Shopify,8
byrna.com,US,"Nov 2, 2018",en,Shopify,9
soldejaneiro.com,US,"Mar 30, 2018",en,Shopify,10
casper.com,US,"Dec 30, 2016",en,Shopify,11
verabradley.com,US,"Dec 13, 2019",en,Shopify,12
fentybeauty.com,US,"Dec 30, 2016",en,Shopify,13
urbanstems.com,US,"Dec 30, 2016",en,Shopify,14
hoover.com,US,"Oct 27, 2017",en,Shopify,15
atari.com,US,"Aug 14, 2020",en,Shopify,16
frankiesbikinis.com,US,"Dec 30, 2016",en,Shopify,17
citywinery.com,US,"Mar 16, 2018",en,Shopify,18
tartecosmetics.com,US,"Dec 30, 2016",en,Shopify,19
ridge.com,US,"Apr 12, 2019",en,Shopify,20
pelacase.com,US,"Dec 30, 2016",pt,Shopify,21
stetson.com,US,"Jun 30, 2017",en,Shopify,22
owllabs.com,US,"Dec 30, 2016",en,Shopify,23
rothys.com,US,"Jun 22, 2018",en,Shopify,24
hudabeauty.com,US,"Dec 30, 2016",en,Shopify,25
glossgenius.com,US,"Apr 28, 2017",en,Shopify,26
shopyalehome.com,US,"Jan 24, 2020",en,Shopify,27
athleticbrewing.com,US,"Nov 8, 2019",en,Shopify,28
bark.co,US,"Dec 30, 2016",en,Shopify,29
nakednutrition.com,US,"Jun 26, 2020",en,Shopify,30
vuoriclothing.com,US,"Aug 23, 2019",en,Shopify,31
www.corsair.com,US,"Dec 30, 2016",en,Shopify,32
drhyman.com,US,"Dec 30, 2016",en,Shopify,33
www.guinnessworldrecords.com,US,"Dec 30, 2016",en,Shopify,34
cozyearth.com,US,"Oct 27, 2017",en,Shopify,35
shokz.com,US,"Dec 24, 2021",en,Shopify,36
oliveandjune.com,US,"Aug 30, 2019",en,Shopify,37
credobeauty.com,US,"Dec 30, 2016",en,Shopify,38
ooni.com,US,"Jul 6, 2018",en,Shopify,39
comfrt.com,US,"Jul 8, 2022",en,Shopify,40
madeincookware.com,US,"Sep 29, 2017",en,Shopify,41
saihello.com,US,"Nov 8, 2019",en,Shopify,42
www.onepeloton.com,US,"Sep 29, 2017",en,Shopify,43
beekman1802.com,US,"Dec 30, 2016",en,Shopify,44
jeffreestarcosmetics.com,US,"Dec 30, 2016",en,Shopify,45
colourpop.com,US,"Aug 25, 2017",en,Shopify,46
www.forever21.com,US,"Dec 30, 2016",en,Shopify,47
aroma360.com,US,"Dec 30, 2016",en,Shopify,48
mantisx.com,US,"Dec 30, 2016",en,Shopify,49
aeropress.com,US,"Dec 30, 2016",en,Shopify,50
oseamalibu.com,US,"Dec 30, 2016",en,Shopify,51
lifestraw.com,US,"Jul 6, 2018",en,Shopify,52
nothing.tech,GB,"Oct 9, 2020",en,Shopify,53
limitedrungames.com,US,"Jun 30, 2017",en,Shopify,54
bedjet.com,US,"Dec 30, 2016",en,Shopify,55
getrocketbook.com,US,"Dec 30, 2016",en,Shopify,56
galaxycon.com,US,"Sep 21, 2018",en,Shopify,57
altenew.com,US,"Dec 30, 2016",en,Shopify,58
primallypure.com,US,"Dec 30, 2016",en,Shopify,59
topodesigns.com,US,"Dec 30, 2016",en,Shopify,60
evolutionofsmooth.com,US,"Dec 30, 2016",en,Shopify,61
drinklmnt.com,US,"Dec 14, 2018",en,Shopify,62
theoodie.com,AU,"Apr 27, 2018",en,Shopify,63
bombas.com,US,"Dec 30, 2016",en,Shopify,64
makeymakey.com,US,"Jun 22, 2018",en,Shopify,65
titancasket.com,US,"Apr 5, 2019",en,Shopify,66
cabotcreamery.com,US,"Oct 14, 2022",en,Shopify,67
www.reebok.com,US,"Dec 30, 2016",en,Shopify,68
www.harpercollins.com,US,"Dec 30, 2016",en,Shopify,69
soylent.com,US,"Dec 30, 2016",en,Shopify,70
counterculturecoffee.com,US,"Mar 24, 2017",en,Shopify,71
ember.com,US,"Oct 27, 2017",en,Shopify,72
timex.com,US,"Dec 30, 2016",en,Shopify,73
tnuck.com,US,"Oct 27, 2017",en,Shopify,74
sokoglam.com,US,"Dec 30, 2016",en,Shopify,75
patternbeauty.com,US,"Jul 12, 2019",en,Shopify,76
versedskin.com,US,"Nov 2, 2018",en,Shopify,77
nzxt.com,US,"Jul 28, 2017",en,Shopify,78
mcphee.com,US,"Dec 30, 2016",en,Shopify,79
thursdayboots.com,US,"Jun 22, 2018",en,Shopify,80
vinegarsyndrome.com,US,"Mar 29, 2019",en,Shopify,81
orgain.com,US,"Aug 23, 2019",en,Shopify,82
fahertybrand.com,US,"Dec 30, 2016",en,Shopify,83
maglite.com,US,"Dec 30, 2016",en,Shopify,84
sunnyhealthfitness.com,US,"May 24, 2019",en,Shopify,85
americantall.com,US,"Dec 30, 2016",en,Shopify,86
redcon1.com,US,"Dec 30, 2016",en,Shopify,87
www.culligan.com,US,"Mar 13, 2020",en,Shopify,88
godzilla.com,US,"Mar 24, 2023",en,Shopify,89
steamforged.com,GB,"Dec 30, 2016",en,Shopify,90
pedalcommander.com,US,"Oct 27, 2017",en,Shopify,91
www.gopuff.com,US,"Jun 19, 2020",en,Shopify,92
buffalojackson.com,US,"Sep 21, 2018",en,Shopify,93
pfcandleco.com,US,"Dec 30, 2016",en,Shopify,94
paperlike.com,DE,"Nov 10, 2017",en,Shopify,95
cardosystems.com,US,"Dec 30, 2016",en,Shopify,96
1stphorm.com,US,"Dec 30, 2016",en,Shopify,97
legacybox.com,US,"Dec 30, 2016",en,Shopify,98
hexclad.com,US,"Aug 25, 2017",en,Shopify,99
www.4ocean.com,US,"Jul 6, 2018",en,Shopify,100
